City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,nakonde,-9.3314,32.7548,287.55,91,65,1.18,ZM,1675115431
280,genhe,51.3347,121.8112,246.95,100,100,1.38,CN,1675115432
281,hihifo,-19.8155,-174.3541,302.16,74,20,2.57,TO,1675115432
282,broken hill,-31.965,141.4511,292.83,47,24,7.35,AU,1675115433
283,ust-tsilma,65.4387,52.1562,264.23,91,100,4.26,RU,1675115434
284,umm lajj,16.5605,43.89,287.67,58,39,1.29,YE,1675115434
285,atar,20.5182,-13.0544,291.25,26,85,3.91,MR,1675115435
286,kumluca,36.3657,30.2875,283.82,66,4,1.59,TR,1675115436
287,goderich,43.7431,-81.7111,268.44,68,100,6.69,CA,1675115436
288,leshukonskoye,64.9025,45.7672,267.46,93,100,5.61,RU,1675115437
289,novoagansk,61.9459,76.6737,260.78,96,100,3.43,RU,1675115437
290,karamea,-39.8582,176.9885,294.87,83,100,6.47,NZ,1675115438
291,plettenberg bay,-34.0528,23.3694,291.68,83,1,5.15,ZA,1675115438
292,quatre cocos,-20.2095,57.7706,298.83,83,46,1.55,MU,1675115439
293,whitehorse,60.7216,-135.0549,265.94,86,100,0.0,CA,1675115439
294,maragogi,-9.0118,-35.2225,299.47,72,60,3.66,BR,1675115440
295,aswan,24.0911,32.8973,293.8,32,0,2.57,EG,1675115440
296,kandi,11.1311,2.9322,299.51,10,99,2.53,BJ,1675115441
297,saint-philippe,45.3584,-73.479,265.97,86,100,3.09,CA,1675115441
298,high level,58.5167,-117.1333,260.22,92,100,0.0,CA,1675115442
299,trairi,-3.2777,-39.2681,298.95,81,24,3.48,BR,1675115443
300,taua,-6.0031,-40.2947,299.75,56,47,4.05,BR,1675115443
301,turayf,31.6726,38.6616,284.29,54,75,3.09,SA,1675115444
302,port hedland,-20.3112,118.5801,299.17,89,98,4.63,AU,1675115444
303,chuy,-33.6938,-53.4561,297.15,74,26,4.56,BR,1675115445
304,presidencia roque saenz pena,-26.7909,-60.441,300.64,69,100,2.64,AR,1675115445
305,kavieng,-2.5735,150.7952,301.01,75,100,2.48,PG,1675115446
306,vinh,18.6692,105.6882,284.19,75,10,1.53,VN,1675115446
307,tubruq,32.0774,23.96,285.87,72,8,6.92,LY,1675115447
308,noyabrsk,63.2003,75.4476,258.03,96,100,5.39,RU,1675115447
309,vila,39.6134,2.8804,278.58,79,0,0.45,ES,1675115448
310,gamba,28.2764,88.5165,267.46,65,0,3.02,CN,1675115448
311,pampierstad,-27.7767,24.6894,293.6,74,98,6.88,ZA,1675115449
312,naze,5.452,7.0567,299.04,80,88,2.44,NG,1675115449
313,say,13.1025,2.3626,298.42,6,93,3.99,NE,1675115450
314,lidorikion,38.5276,22.2031,280.68,87,72,1.74,GR,1675115450
315,maracacume,-2.0492,-45.9587,295.76,98,100,0.14,BR,1675115451
316,port blair,11.6645,92.739,299.83,74,40,1.54,IN,1675115451
317,hoopstad,-27.8342,25.9126,290.3,83,95,5.52,ZA,1675115452
318,barawe,1.4923,44.1066,297.2,82,12,6.2,SO,1675115452
319,batagay,67.6549,134.6351,237.33,97,100,0.89,RU,1675115453
320,carupano,10.6494,-63.2542,296.74,75,24,3.36,VE,1675115453
321,bud,50.8285,-4.5469,280.15,81,81,1.79,GB,1675115454
322,mogadishu,2.0349,45.3419,297.83,81,12,9.3,SO,1675115454
323,sampit,-2.5389,112.9494,296.53,99,99,1.03,ID,1675115455
324,hambantota,6.1249,81.1243,296.33,100,75,1.03,LK,1675115455
325,tabatinga,-21.7374,-48.6881,294.68,91,98,1.33,BR,1675115456
326,alotau,-10.3061,150.4464,300.48,82,85,1.11,PG,1675115456
327,hirado,33.3681,129.5539,279.11,52,4,2.37,JP,1675115457
328,kahului,20.8894,-156.4727,296.44,92,75,3.6,US,1675115457
329,nome,64.5011,-165.4064,272.68,93,100,5.66,US,1675115458
330,puerto carreno,6.188,-67.4895,306.14,43,20,4.63,CO,1675115458
331,opelousas,30.5335,-92.0815,293.09,100,100,2.06,US,1675115425
332,rio gallegos,-51.6461,-69.2632,289.19,27,75,15.43,AR,1675115459
333,codrington,51.5082,-2.3937,278.46,89,25,0.45,GB,1675115460
334,yongan,25.9439,117.3601,279.41,63,0,1.11,CN,1675115460
335,bandar-e torkaman,36.8929,54.0697,276.21,76,90,2.53,IR,1675115461
336,xining,36.6173,101.7762,271.61,23,0,0.24,CN,1675115462
337,manadhoo,5.7665,73.4112,299.34,73,20,3.44,MV,1675115462
338,zhaodong,46.0722,125.9863,254.1,100,100,2.22,CN,1675115463
339,bathsheba,13.2129,-59.5227,299.37,65,40,5.14,BB,1675115464
340,tura,47.39,0.6889,279.93,93,100,2.06,FR,1675115464
341,malanje,-9.5484,16.3475,290.11,96,31,1.66,AO,1675115465
342,tateyama,34.9965,139.87,277.1,38,75,7.72,JP,1675115466
343,chifeng,42.28,118.9426,261.43,81,6,2.38,CN,1675115466
344,marawi,8.0047,124.2854,292.12,93,12,0.59,PH,1675115467
345,acajutla,13.5898,-89.8298,301.96,56,1,3.22,SV,1675115468
346,atbasar,51.81,68.3585,249.5,94,96,0.38,KZ,1675115468
347,khanpur,28.6477,70.656,285.85,53,0,3.92,PK,1675115469
348,hailar,49.2389,120.0229,255.04,99,100,1.27,CN,1675115469
349,thinadhoo,0.5326,72.9971,299.94,75,94,3.96,MV,1675115470
350,sembabule,-0.0809,31.4603,290.92,67,20,0.86,UG,1675115471
351,vestmanna,62.156,-7.166,277.73,93,100,8.23,FO,1675115471
352,merauke,-8.4903,140.3956,298.81,92,95,2.09,ID,1675115472
353,carmen,9.8243,124.1984,295.58,96,80,3.41,PH,1675115473
354,mao,31.6835,103.8502,279.78,57,0,1.43,CN,1675115473
355,kiruna,68.1667,19.5,259.64,86,45,4.65,SE,1675115474
356,grand river south east,-20.2907,57.7852,298.98,94,40,0.0,MU,1675115474
357,amapa,21.7844,-105.2547,304.78,31,0,5.06,MX,1675115475
358,biak,-1.1836,136.0816,298.83,82,100,1.52,ID,1675115476
359,plover,42.8784,-94.6234,257.69,73,30,3.13,US,1675115476
360,huilong,32.7019,115.4757,278.97,36,28,2.57,CN,1675115477
361,woodward,41.8569,-93.9219,261.79,60,0,5.14,US,1675115477
362,baruun-urt,46.6809,113.2835,253.4,94,38,2.34,MN,1675115478
363,sitka,57.0525,-135.3376,277.05,87,100,1.54,US,1675115478
364,salalah,17.0175,54.1011,292.74,51,62,1.11,OM,1675115479
